Membership No  Date Joined  Active  
    50642      2018-6-10    yes   
    13334      2015-9-11    no    
    80293      2018-1-7     no    
    70438      2018-1-8     yes   
    33289      2016-9-12    no    
    74242      2019-10-14   no    
    48976      2016-11-6    yes   
    60255      2016-6-3     no    
    66059      2018-8-11    no    
    97487      2020-8-17    yes   
    89724      2019-9-21    no    
    29704      2019-1-18    no    
    81633      2020-11-12   yes   
    87905      2015-9-9     no    
    64035      2019-2-13    no    
    91562      2020-9-4     no    
    88717      2018-8-12    yes   
    63951      2017-6-10    no    
    19699      2017-6-7     no    
    35432      2018-11-9    yes
