Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.61087,1.61087,1.61087,0,0,0,0,0,0,0,0,WAIT
1.61087,1.61087,1.61087,0.00000,0.00000,0,0,0,0,0,0,WAIT
nan,1.61087,1.61087,0.00000,0.00000,0,0,0,0,0,0,WAIT
1.61087,1.61087,1.61087,0.00000,0.00000,0,0,0,0,0,0,SELL
1.61087,1.61087,1.61087,0.00000,0.00000,0,0,0,0,0,0,STRONGBUY
1.61087,1.61087,1.61087,0.00000,0.00000,0,0,0,0,0,0,STRONGBUY
1.6085,1.60850,1.60850,-0.00237,-0.00237,-0.0045,-20,0.2,-0.0005,0,-20,BUY
1.61744,1.61744,1.61744,0.00894,0.00894,0.01325,60,0,-0.0005,10,0,STRONGSELL
1.61656,1.61656,1.61656,nan,nan,-0.005,-20,0,0,0,10,STRONGSELL
1.60958,1.60958,1.60958,-0.00698,-0.00698,-0.00275,-60,-0.1,-0.001,-10,0,STRONGBUY
1.60877,1.60877,1.60877,-0.00081,-0.00081,-0.007,-40,0.1,-0.0005,0,-10,STRONGSELL
1.60931,1.60931,1.60931,0.00054,0.00054,0.0015,0,0,-0.0005,0,-10,STRONGSELL
1.61484,1.61484,1.61484,0.00553,0.00553,0.001,80,-0.1,0,0,0,STRONGSELL
1.59979,1.59979,1.59979,-0.01505,-0.01505,0.0015,-240,-0.1,-0.001,-10,0,SELL
1.60423,1.61072,1.60423,0.01092,0.00444,-0.0095,80,0,-0.0005,0,0,STRONGSELL
1.59722,1.61024,1.59722,-0.00047,-0.00701,0.003,-60,-0.1,-0.0005,0,-10,WAIT
1.59851,1.60927,1.59851,-0.00097,0.00129,-0.0055,40,0,-0.0005,0,0,BUY
1.59829,1.60838,1.59829,nan,-0.00022,0.001,20,-0.1,0,0,0,STRONGSELL
1.59746,1.60748,1.59746,-0.00090,-0.00083,-0.0005,20,0,0,0,0,BUY
1.6009,1.60653,1.60090,-0.00096,0.00344,0.0075,39.95,0.2,0.0005,0,20,WAIT
1.59414,1.60581,1.59414,-0.00071,-0.00676,-0.004,-59.95,0,0,0,-10,STRONGBUY
1.5989,1.60479,1.59890,-0.00103,0.00476,0.0035,59.95,-0.2,0.0005,0,10,SELL
1.60076,1.60346,1.60076,-0.00132,0.00186,-0.0005,20.05,0,0.0005,0,0,STRONGSELL
1.59961,1.60234,1.59961,-0.00113,-0.00115,0.003,0,0.1,0.0005,0,10,STRONGSELL
1.59654,1.60162,1.59654,-0.00071,-0.00307,-0.0035,-40,0,0,0,0,STRONGSELL
1.59221,1.60075,1.59221,-0.00087,-0.00433,-0.0025,-80,-0.1,0,0,-20,WAIT
1.59172,1.59953,1.59172,-0.00122,-0.00049,-0.0015,0,0,-0.00025,-10,-10,WAIT
1.59288,1.59788,1.59288,-0.00165,0.00116,-0.0005,40,0.1,0.00025,10,0,WAIT
